,loc
123,"(1252.7806291105885, 44.98741049684361)"
124,"(1273.8117990391916, 44.722766025451165)"
125,"(1294.8430428045926, 44.45851963539826)"
126,"(1315.9328391876454, 44.28408039447231)"
127,"(1336.9057518457896, 43.931061866763685)"
128,"(1357.937143284997, 43.66793010442723)"
129,"(1063.7628112463165, 68.95509150368105)"
130,"(1105.8238220402118, 68.41999057343605)"
131,"(1126.8544012740101, 68.15303723030866)"
132,"(1147.8849805078085, 67.88640235224716)"
133,"(1168.9156335784046, 67.62008593925157)"
134,"(1189.9463604859043, 67.35416760759551)"
135,"(1232.007888137806, 66.8232863394528)"
136,"(1253.0386888821038, 66.5584030192681)"
137,"(1274.0695634633043, 66.29383816414918)"
138,"(1316.131460299302, 65.76574346535449)"
139,"(1337.162482554204, 65.53206972185626)"
140,"(1358.193504809106, 65.23908185942707)"
141,"(1379.224674737604, 64.97626856215663)"
142,"(1064.0238983284444, 90.52568594479419)"
143,"(1106.0842445907367, 89.99074424706816)"
144,"(1127.1145284771326, 89.72379090394077)"
145,"(1148.1447385267302, 89.45715602587916)"
146,"(1169.1750962500291, 89.1909192291572)"
147,"(1190.205453973328, 88.95485699759377)"
148,"(1211.235885533425, 88.65948064715622)"
149,"(1232.266317093522, 88.39427886193369)"
150,"(1253.2968224904173, 88.12939554172067)"
151,"(1274.3273278874174, 87.86491030287539)"
152,"(1295.3579071212155, 87.6007435290677)"
153,"(1316.388560191917, 87.33689522035422)"
154,"(1337.4192132625133, 87.07344499295198)"
155,"(1064.2850592473706, 112.09636000218109)"
156,"(1106.3446671412617, 111.56149792070016)"
157,"(1127.3745818434568, 111.29454457757265)"
158,"(1169.4344850847503, 110.76175251906284)"
159,"(1190.4644736237437, 110.49591380365189)"
160,"(1211.4945359996402, 110.23039355333538)"
161,"(1232.5246722124398, 109.96519176808454)"
162,"(1253.5548084251345, 109.70038806414516)"
163,"(1274.5850184747321, 109.43590282529976)"
164,"(1295.615302361128, 109.17181566779402)"
165,"(1316.6455862475236, 108.90804697532576)"
166,"(1337.6758701339195, 108.64459674795171)"
167,"(1043.5166746484067, 133.93494279786466)"
168,"(1064.5460724927002, 133.66703405953945)"
169,"(1127.634561372983, 132.8653778674783)"
170,"(1148.6641807277758, 132.59882260569043)"
171,"(1169.6938000825687, 132.33266542521358)"
172,"(1190.7234932742645, 132.06682670983105)"
173,"(1211.7532603027585, 131.80130645951442)"
174,"(1232.7830273312527, 131.53618429050903)"
175,"(1253.8127943598515, 131.27146020287125)"
176,"(1274.8427090620469, 131.00697496399778)"
177,"(1295.8725499273392, 130.74288780649192)"
178,"(1337.9325270054308, 130.21574850292325)"
179,"(1358.962515544529, 129.95277597313395)"
180,"(1064.8070857380299, 155.2376285006527)"
181,"(1127.8946147393074, 154.43613154111029)"
182,"(1148.9238649098995, 154.16965589559595)"
183,"(1169.9823544709184, 153.9034987151192)"
184,"(1190.9824390878823, 153.6377396160102)"
185,"(1212.0118369321758, 153.3722989819388)"
186,"(1233.0413086133722, 153.1071768129617)"
187,"(1254.070780294464, 152.84245272529563)"
188,"(1275.1002519756605, 152.57804710272399)"
189,"(1296.1298713304532, 152.31403956146346)"
190,"(1338.189110040039, 151.7869798741683)"
191,"(1149.183401418322, 175.74048918550147)"
192,"(1170.212356241512, 175.47441162129826)"
193,"(1191.2413849016048, 175.20865252218937)"
194,"(1212.270413561593, 174.94321188811796)"
195,"(1233.2995160585888, 174.6781693353861)"
196,"(1254.328692392278, 174.41352486402195)"
197,"(1296.3870450598663, 173.88511170016136)"
198,"(1317.4163690672567, 173.62150224024026)"
199,"(1338.4456192378489, 173.35821124541337)"
200,"(1359.4750170821424, 173.09523871562408)"
201,"(1065.3289645548832, 198.37897661539796)"
202,"(1149.443011763543, 197.3113224754071)"
203,"(1170.471597402532, 197.0452449112039)"
204,"(1212.5289901911149, 196.51420441057064)"
205,"(1233.5577235038054, 196.24916185783877)"
206,"(1254.586530653294, 195.98451738644633)"
207,"(1317.673173612469, 195.19265399521169)"
208,"(1086.6178989075993, 219.6822992482895)"
209,"(1170.730764726649, 218.61615781738305)"
210,"(1191.759128855139, 218.35047833451927)"
211,"(1254.84436891431, 217.55558952514423)"
212,"(1275.8728807163961, 217.29134313509132)"
213,"(1296.9013925185873, 217.02741521010432)"
214,"(1317.9299781575767, 216.76380575021153)"
215,"(1002.7675969074795, 242.3245286427317)"
216,"(1023.7952226675683, 242.05614220679354)"
217,"(1044.8229222644552, 241.78807423594958)"
218,"(1086.878395295027, 241.25297330567628)"
219,"(1128.9340898360986, 240.71930546821386)"
220,"(1149.9619371066867, 240.45298905521827)"
221,"(1170.989932050976, 240.18707072356221)"
222,"(1192.0179269951605, 239.92139124069843)"
223,"(1213.0459219394497, 239.65610983917418)"
224,"(1234.0739907204324, 239.39122651898936)"
225,"(1255.1021333384228, 239.12666166387055)"
226,"(1276.1302759563087, 238.86241527381765)"
227,"(1297.1584924110973, 238.59848734883064)"
228,"(982.0021657823302, 264.16382798484904)"
229,"(1003.0294223581134, 263.89512308384496)"
230,"(1024.0566789338966, 263.6267366479068)"
231,"(1045.0840831833812, 263.35874829330805)"
232,"(1066.1114135960675, 263.0910784037752)"
233,"(1087.1388916823503, 262.7939504954609)"
234,"(1108.1662959318346, 262.5567736361809)"
235,"(1129.1938478550205, 262.2901387581195)"
236,"(1150.2213997782062, 262.0238223451239)"
237,"(1171.24902553819, 261.75790401346774)"
238,"(1213.3043508951657, 261.22710236162686)"
239,"(1234.3320504919477, 260.96221904141385)"
240,"(1255.3598239257376, 260.69773380256845)"
241,"(1276.387671196221, 260.43348741251555)"
242,"(1297.4155184668089, 260.16963910380207)"
243,"(1318.4434395741953, 259.9061888763998)"
244,"(982.2642865802616, 285.73434280968877)"
245,"(1003.2911739718443, 285.4657175249581)"
246,"(1024.318135200225, 285.19741070529346)"
247,"(1045.3450964287108, 284.9294223506665)"
248,"(1066.3721314939949, 284.661752461162)"
249,"(1087.3992403961818, 284.3944806529404)"
250,"(1108.426349298159, 284.127527309813)"
251,"(1129.4535320371442, 283.860972048025)"
252,"(1150.4807886129274, 283.59473525130295)"
253,"(1171.5080451887106, 283.3288169196469)"
254,"(1192.5353756013972, 283.06329666930196)"
255,"(1213.5627060139786, 282.79809488405124)"
256,"(1234.590110263463, 282.53329118014005)"
257,"(1255.6175145130524, 282.26872632502113)"
258,"(1276.6449925993352, 282.0046391674871)"
259,"(982.5263335413948, 307.3049372508019)"
260,"(1003.552851748777, 307.03631196604306)"
261,"(1024.5795176297554, 306.7680051463784)"
262,"(1045.6061835108387, 306.5000964080532)"
263,"(1066.632849391922, 306.232506134794)"
264,"(1087.6595891098036, 305.9652343266007)"
265,"(1108.6864026644832, 305.6983605997185)"
266,"(1150.775176111898, 305.1655685412086)"
267,"(1171.7670648392314, 304.89972982579775)"
268,"(1192.7940260676123, 304.6342095754811)"
269,"(1213.820987296098, 304.36908740650404)"
270,"(1234.8480961981802, 304.10428370256443)"
271,"(1255.875131263464, 303.83979846371915)"
272,"(1276.9023140024492, 303.575711306185)"
273,"(1297.9294967413296, 303.31194261374503)"
274,"(982.8175460560517, 328.87545207564165)"
275,"(1003.8437689160314, 328.60690640715626)"
276,"(1024.8408262224875, 328.3385995874916)"
277,"(1045.8671229192655, 328.07077046544003)"
278,"(1066.8934934529464, 327.80318019215247)"
279,"(1087.9199378234255, 327.5359880002327)"
280,"(1108.9463821940094, 327.2691142733789)"
281,"(1129.9729004012868, 327.00263862780787)"
282,"(1150.9994186086687, 326.7364814473877)"
283,"(1172.0260106528492, 326.47064273197685)"
284,"(1193.0526026970294, 326.2052020979338)"
285,"(1214.0792685781128, 325.94007992892836)"
286,"(1235.1060082959943, 325.6395285211342)"
287,"(1256.132748013876, 325.4109502186907)"
288,"(1277.1595615686604, 325.1468630611848)"
289,"(1298.186448960243, 324.88309436871657)"
290,"(962.024426114181, 350.7149106502778)"
291,"(1025.1021348151148, 349.9092736448784)"
292,"(1046.128062327692, 349.64144452279845)"
293,"(1067.1541375140755, 349.3739338658128)"
294,"(1088.180212700354, 349.10674167386475)"
295,"(1109.2062878866327, 348.8399475632844)"
296,"(1130.2324369097091, 348.57347191774176)"
297,"(1151.258659769689, 348.30739435353854)"
298,"(1172.2848826296686, 348.041555638156)"
299,"(1193.3111793265516, 347.77619462035824)"
300,"(1214.3375498601276, 347.5110724513811)"
301,"(1235.3639203938085, 347.2463483637151)"
302,"(1298.4432535053506, 346.4543257399617)"
303,"(962.2866945858136, 372.2854254751174)"
304,"(1025.3633695709439, 371.4799477022369)"
305,"(1046.3890017362237, 371.212118580157)"
306,"(1067.4147077383016, 370.9446079231713)"
307,"(1088.4404137402746, 370.6774953474968)"
308,"(1109.4661935792556, 370.41078085319)"
309,"(1130.4919734181317, 370.14430520764734)"
310,"(1151.517827093911, 369.8782276434441)"
311,"(1172.5437546064882, 369.6125481606087)"
312,"(1193.5696821190654, 369.3471871428109)"
313,"(1214.595683468546, 369.08214459007905)"
314,"(1235.6217586548246, 368.81742050241303)"
315,"(1256.647833841103, 368.55309449611485)"
316,"(941.5237739133751, 394.12512289854595)"
317,"(962.5488892206481, 393.85594029995707)"
318,"(1004.5992675090005, 393.3186897304676)"
319,"(1025.6245304899749, 393.05054214335007)"
320,"(1046.6498673078522, 392.78279263754376)"
321,"(1067.6752041257296, 392.51536159680336)"
322,"(1088.7006147803002, 392.2483286374024)"
323,"(1109.7260254349758, 391.98153452682203)"
324,"(1130.7515099265543, 391.7152181138265)"
325,"(1151.776994418028, 391.4491405496233)"
326,"(1172.8025527464047, 391.18346106675955)"
327,"(1193.8281849116845, 390.98975468924647)"
328,"(1214.8538170768593, 390.65313711253174)"
329,"(1256.9053029179183, 390.1241666348128)"
330,"(920.7615177724344, 415.96513878706867)"
331,"(941.786263895507, 415.6956377233856)"
332,"(962.8110838554826, 415.42653474107027)"
333,"(1004.860797612127, 414.88928417158087)"
334,"(1067.9357005130526, 414.0861152704636)"
335,"(1088.9607419835274, 413.8190823110627)"
336,"(1110.1262211322082, 413.6001375768986)"
337,"(1131.1981489988832, 413.1905914996354)"
338,"(1152.03616174225, 413.02005345577413)"
339,"(1173.0613508864262, 412.7543739729387)"
340,"(1194.0866138674005, 412.48909257141446)"
341,"(1215.1119506852779, 412.2241296349561)"
342,"(1236.1372875030502, 411.95956477983725)"
343,"(1257.1626981578306, 411.6953183897843)"
344,"(900.0, 437.8053139081102)"
345,"(921.024376938872, 437.5355739956347)"
346,"(963.073204653414, 436.99704956588164)"
347,"(1089.2207953498519, 435.3898359846947)"
348,"(1110.2455414729243, 435.1232011066332)"
349,"(1131.2703614327952, 434.85688469363765)"
350,"(1152.2951813926657, 434.59096636198154)"
351,"(1173.3200751895445, 434.3253664953631)"
352,"(1194.3450428231163, 434.0600850938671)"
353,"(1215.3700104567931, 433.79520177365407)"
354,"(1236.395051927268, 433.53063691853515)"
355,"(1257.4200933977431, 433.26639052848225)"
356,"(900.2630806769369, 459.3757491166763)"
357,"(921.2870884316083, 459.10600920420086)"
358,"(1131.5297502675164, 456.42779759981676)"
359,"(1152.5542010432914, 456.1618792681607)"
360,"(1173.5787994926627, 455.89635901781577)"
361,"(1194.603397942034, 455.6310776162915)"
362,"(1215.6279963914053, 455.3662739123803)"
363,"(1236.65266867768, 455.1017090572614)"
364,"(1257.6774148007523, 454.83754228345373)"
365,"(900.5261613538737, 480.9461843252424)"
366,"(921.5497999243445, 480.6765240290405)"
367,"(1131.7890652654396, 477.99871050596767)"
368,"(1152.8132206937073, 477.73279217431156)"
369,"(1173.837449958878, 477.46727192399493)"
370,"(1194.8616792240489, 477.20214975501773)"
371,"(1215.8859823261228, 476.9372664348047)"
372,"(1132.0483064264597, 499.5695437958732)"
373,"(1153.07216650743, 499.3037846967642)"
374,"(1174.0960265884, 499.03826444644756)"
375,"(1195.1199605061684, 498.77314227744216)"
376,"(1153.3310384842493, 520.8746976029433)"
377,"(1195.378167951385, 520.3441347998948)"
378,"(1216.4018065217508, 520.0794107122289)"
379,"(1237.4254450922217, 519.8150050896288)"
380,"(1153.5899104609641, 542.4456105090942)"
381,"(1195.6363753966016, 541.9152069385927)"
382,"(1216.659644782767, 541.6504828509269)"
383,"(1237.6829141689323, 541.3861568446287)"
384,"(1132.8258822358189, 564.2822825144106)"
385,"(1153.8487086009854, 564.0166030315469)"
386,"(1195.8944351681168, 563.4861994610171)"
387,"(1216.9174092068797, 563.221554989653)"
388,"(1237.9403832457476, 562.9572289833266)"
389,"(1258.9634311214136, 562.6933010583396)"
390,"(1133.0849757231376, 585.8531954205897)"
391,"(1175.129963921868, 585.3222345362018)"
392,"(1196.1525687764304, 585.0572715997434)"
393,"(1217.1751736309927, 584.792627128351)"
394,"(1238.19777848566, 584.5283807382981)"
395,"(1133.3440692105614, 607.4241083267406)"
396,"(1154.3662310440202, 607.1585084601504)"
397,"(1175.3883928776888, 606.8932270586262)"
398,"(1196.4106285479456, 606.6282641221678)"
399,"(1217.4328642183075, 606.363699267049)"
400,"(1238.4551737255724, 606.099452876996)"
401,"(1112.5812962117193, 629.2610191808494)"
402,"(1154.6248815103404, 628.7295009826031)"
403,"(1175.6467479965017, 628.4642195810789)"
404,"(1196.6686144826629, 628.199336260894)"
405,"(1112.8406112095374, 650.8319320870285)"
406,"(1133.8620346747, 650.5660137553724)"
407,"(1154.8835319765558, 650.3004935050275)"
408,"(1175.9050292785164, 650.0352917198051)"
409,"(1196.926526580477, 649.770408399592)"
410,"(1134.1209804884227, 672.1369266615233)"
411,"(1176.163236723733, 671.6062842422295)"
412,"(1197.1844386782911, 671.3414805382899)"
413,"(1134.3798524651372, 693.707919183976)"
414,"(1155.4006113985918, 693.4424785499045)"
415,"(1176.4214441689496, 693.1773563809274)"
416,"(1092.5979449434487, 715.8107483697408)"
417,"(1134.6387244419568, 715.2788320901551)"
418,"(1155.6591141912108, 715.0134710723572)"
419,"(1176.679651614166, 714.7483489033801)"
420,"(1008.7777683758579, 738.4493950321561)"
421,"(1092.8574076149682, 737.3816612759199)"
422,"(1113.8774281800215, 737.1155837117451)"
423,"(1134.897522581873, 736.8498246125795)"
424,"(1030.058063817735, 759.7527176650759)"
425,"(1051.0775675248867, 759.4856050894014)"
426,"(1072.0972189057397, 759.2188905950663)"
427,"(1093.1167964496894, 758.9524945658255)"
428,"(1114.1365216673405, 758.686496617896)"
429,"(988.2801434856644, 781.8585722689812)"
430,"(1030.31848636826, 781.3234713387079)"
431,"(988.5411567309942, 803.4293259426132)"
